emission_source_id,emission_source,emission_type_id,mapping_string
91275227,Paper and board: paper - Composting,8140,paper and board: paper - composting
91275228,Paper and board: paper - Landfill,8140,paper and board: paper - landfill
91275229,Paper and board: paper - Recycled,8140,paper and board: paper - recycled
91275230,Plasterboard - Landfill,8140,plasterboard - landfill
91275231,Plasterboard - Recycled,8140,plasterboard - recycled
91275232,Plastics: average plastic film - Combustion,8140,plastics: average plastic film - combustion
91275233,Plastics: average plastic film - Landfill,8140,plastics: average plastic film - landfill
91275234,Plastics: average plastic film - Recycled,8140,plastics: average plastic film - recycled
91275235,Plastics: average plastic rigid - Combustion,8140,plastics: average plastic rigid - combustion
91275236,Plastics: average plastic rigid - Landfill,8140,plastics: average plastic rigid - landfill
91275237,Plastics: average plastic rigid - Recycled,8140,plastics: average plastic rigid - recycled
91275238,Plastics: average plastics - Combustion,8140,plastics: average plastics - combustion
91275239,Plastics: average plastics - Landfill,8140,plastics: average plastics - landfill
91275240,Plastics: average plastics - Recycled,8140,plastics: average plastics - recycled
91275241,Plastics: HDPE (including forming) - Combustion,8140,plastics: hdpe (incl. forming) - combustion
91275242,Plastics: HDPE (including forming) - Landfill,8140,plastics: hdpe (incl. forming) - landfill
91275243,Plastics: HDPE (including forming) - Recycled,8140,plastics: hdpe (incl. forming) - recycled
91275244,Plastics: LDPE and LLDPE (including forming) - Combustion,8140,plastics: ldpe and lldpe (incl. forming) - combustion
91275245,Plastics: LDPE and LLDPE (including forming) - Landfill,8140,plastics: ldpe and lldpe (incl. forming) - landfill
91275246,Plastics: LDPE and LLDPE (including forming) - Recycled,8140,plastics: ldpe and lldpe (incl. forming) - recycled
91275247,Plastics: PET (including forming) - Combustion,8140,plastics: pet (incl. forming) - combustion
91275248,Plastics: PET (including forming) - Landfill,8140,plastics: pet (incl. forming) - landfill
91275249,Plastics: PET (including forming) - Recycled,8140,plastics: pet (incl. forming) - recycled
91275250,Plastics: PP (including forming) - Combustion,8140,plastics: pp (incl. forming) - combustion
91275251,Plastics: PP (including forming) - Landfill,8140,plastics: pp (incl. forming) - landfill
91275252,Plastics: PP (including forming) - Recycled,8140,plastics: pp (incl. forming) - recycled
91275253,Plastics: PS (including forming) - Combustion,8140,plastics: ps (incl. forming) - combustion
91275254,Plastics: PS (including forming) - Landfill,8140,plastics: ps (incl. forming) - landfill
91275255,Plastics: PS (including forming) - Recycled,8140,plastics: ps (incl. forming) - recycled
91275256,Plastics: PVC (including forming) - Combustion,8140,plastics: pvc (incl. forming) - combustion
91275257,Plastics: PVC (including forming) - Landfill,8140,plastics: pvc (incl. forming) - landfill
91275258,Plastics: PVC (including forming) - Recycled,8140,plastics: pvc (incl. forming) - recycled
91275259,Soils - Landfill,8140,soils - landfill
91275260,Soils - Recycled,8140,soils - recycled
91275261,Tyres - Recycled,8140,tyres - recycled
91275262,WEEE - fridges and freezers - Landfill,8140,weee - fridges and freezers - landfill
91275263,WEEE - large - Recycled,8140,weee - large - recycled
91275264,WEEE - large - Landfill,8140,weee - large - landfill
91275265,WEEE - mixed - Recycled,8140,weee - mixed - recycled
91275266,WEEE - mixed - Landfill,8140,weee - mixed - landfill
91275267,WEEE - small - Recycled,8140,weee - small - recycled
91275268,WEEE - small - Landfill,8140,weee - small - landfill
91275269,Wood - Combustion,8140,wood - combustion
91275270,Wood - Composting,8140,wood - composting
91275271,Wood - Landfill,8140,wood - landfill
91275272,Wood - Recycled,8140,wood - recycled
91275273,Water supply,8138,water supply
91275274,Water treatment,8138,water treatment
91275275,Other (please specify in comments),8151,other (please specify in comments)
